Review_ID,Review_Date,Product_Model,Rating,Review_Title,Review_Text,Verified_Purchase
REV_001,2026-05-01,Quantum X,1,Terrible Battery Life,"The battery drains from 100 to 0 in under 4 hours. Completely unusable for a full workday.",True
REV_002,2026-05-02,Quantum X,2,Overheats quickly,"Phone gets dangerously hot near the camera module when playing simple games.",True
REV_003,2026-05-03,Quantum X,3,Camera won't focus,"The macro lens is a gimmick and the main lens struggles to auto-focus in low light.",False
REV_004,2026-05-04,Quantum X,2,Screen burn-in,"After just two weeks I can already see a ghost image of the status bar burned into the OLED.",True
REV_005,2026-05-05,Quantum X,1,Massive lag,"Swiping between home screens stutters constantly. The UI is poorly optimized.",True
REV_006,2026-05-06,Quantum X,5,Amazing performance,"Fastest phone I have ever used. Everything loads instantly.",True
REV_007,2026-05-07,Quantum X,4,Great camera,"Daylight photos are crisp and vibrant. Highly recommend for photography.",True
REV_008,2026-05-08,Quantum X,5,Beautiful screen,"The 120Hz refresh rate makes scrolling incredibly smooth.",True
REV_009,2026-05-09,Quantum X,3,Too heavy,"Good specs but the device feels like a brick in my pocket. Uncomfortable to hold.",True
REV_010,2026-05-10,Quantum X,4,Good value,"For the price you get a lot of features. Missing wireless charging though.",False
REV_011,2026-05-11,Quantum X,,Battery is a joke,"I have to charge it twice a day. The standby drain is horrendous.",True
REV_012,2026-05-12,Quantum X,2,Gets too hot,"Watching a 10 minute YouTube video makes the back panel uncomfortably warm.",True
REV_013,2026-05-13,Quantum X,2,Blurry photos,"Portrait mode edge detection is awful. It blurs my hair and ears every time.",True
REV_014,2026-05-14,Quantum X,3,Dead pixels,"Noticed two dead pixels on the bottom right corner out of the box.",True
REV_015,2026-05-15,Quantum X,2,App crashes,"Instagram and WhatsApp crash randomly. The RAM management kills background apps too aggressively.",True
REV_016,2026-05-16,Quantum X,5,Battery beast,,True
REV_017,2026-05-17,Quantum X,4,Sleek design,"Looks very premium. The matte finish rejects fingerprints well.",True
REV_018,2026-05-18,Quantum X,5,Loud speakers,"The stereo speakers are incredibly loud and clear without distortion.",True
REV_019,2026-05-19,Quantum X,,Slippery,"You absolutely need a case. It slid right off my desk.",False
REV_020,2026-05-20,Quantum X,4,Decent buy,"Solid mid-range phone. Does everything I need it to do.",True
REV_021,2026-05-21,Quantum X,1,Dies at 15%,"Phone shuts down randomly when it hits 15 percent battery. Faulty hardware.",True
REV_022,2026-05-22,Quantum X,2,Thermal throttling,"Frame rates drop significantly after 5 minutes of gaming due to excessive heat.",True
REV_023,2026-05-23,Quantum X,3,Shutter lag,"Takes almost a full second to capture an image after pressing the button. Missed many shots.",True
REV_024,2026-05-24,Quantum X,2,Green tint on screen,"At low brightness the entire display has a noticeable and ugly green tint.",True
REV_025,2026-05-25,Quantum X,1,Bloatware everywhere,"Comes pre-installed with 20 garbage apps that you cannot uninstall. Infuriating.",True
REV_026,2026-05-26,Quantum X,5,Flawless software,"No ads no bloatware. The interface is clean and snappy.",True
REV_027,2026-05-27,Quantum X,4,Fast charging,"Goes from 0 to 100 in just 30 minutes. Very convenient.",True
REV_028,2026-05-28,Quantum X,5,Perfect size,"Fits nicely in one hand unlike the giant max versions.",True
REV_029,2026-05-29,Quantum X,3,No headphone jack,"Annoyed that I have to buy dongles now. Otherwise fine.",True
REV_030,2026-05-30,Quantum X,4,Reliable,"Good signal strength and call quality. No dropped calls.",True
REV_031,2026-06-01,Quantum X,1,Charging issue,"Phone only charges when the cable is held at a specific angle. Port is loose.",True
REV_032,2026-06-02,Quantum X,2,Overheating warning,"Keeps throwing a high temperature warning and turning off the flashlight.",True
REV_033,2026-06-03,Quantum X,3,Video stabilization fails,"4K video recording is incredibly shaky. OIS does not seem to work at all.",False
REV_034,2026-06-04,Quantum X,2,Touch sensitivity,,True
REV_035,2026-06-05,Quantum X,1,Fingerprint scanner broken,"The under-display reader works maybe 1 out of 10 times. Total garbage.",True
REV_036,2026-06-06,Quantum X,5,Great fingerprint sensor,"Unlocks instantly. Best biometric scanner I have used.",True
REV_037,2026-06-07,Quantum X,4,Vibrant colors,"Watching HDR content on Netflix looks breathtaking.",True
REV_038,2026-06-08,Quantum X,,Sturdy build,"Dropped it on concrete and it barely got a scratch. Very durable.",True
REV_039,2026-06-09,Quantum X,3,Fingerprint magnet,"The glossy back gets dirty immediately. Needs constant wiping.",True
REV_040,2026-06-10,Quantum X,4,Fluid animations,"Menu transitions are very Apple-esque. Extremely smooth.",True
REV_041,2026-06-11,Quantum X,1,Awful battery optimization,"Even with power saving mode on the battery drains fast. Software bug.",True
REV_042,2026-06-12,Quantum X,2,Gets hot on calls,"Just making a regular voice call makes the earpiece area uncomfortably hot.",True
REV_043,2026-06-13,Quantum X,3,Washed out photos,"Indoor lighting makes pictures look pale and lack contrast.",True
REV_044,2026-06-14,Quantum X,2,Black smear,"Scrolling text on a black background leaves terrible purple smearing trails.",True
REV_045,2026-06-15,Quantum X,1,Wifi drops,"Randomly disconnects from my home 5Ghz wifi network several times a day.",True
REV_046,2026-06-16,Quantum X,5,Strong connection,"Gets 5G signal in areas where my old phone had zero bars.",True
REV_047,2026-06-17,Quantum X,4,Crisp audio,"Bluetooth codec support is great. My wireless earbuds sound amazing.",True
REV_048,2026-06-18,Quantum X,5,Highly recommended,"Best phone of the year. Unbeatable price to performance ratio.",True
REV_049,2026-06-19,Quantum X,3,Camera bump,"The camera module sticks out too far. The phone wobbles flat on a table.",False
REV_050,2026-06-20,Quantum X,4,Good update policy,"Received two major OS updates already. They support it well.",True
REV_051,2026-06-21,Quantum X,1,Battery health degraded,"Battery max capacity dropped to 85 percent after just 3 months.",True
REV_052,2026-06-22,Quantum X,2,Burns my hand,"Charging the device makes the metal frame so hot it literally burns to touch.",True
REV_053,2026-06-23,Quantum X,3,Selfie camera sucks,"The front facing camera over-smooths my face like a cheap beauty filter.",True
